"Timestamp"	"Коротко про те, ким ви працюєте:"	"category"	"probability"	"speciality_auto_detected"	"Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?"	"Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?"	"Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?"	"В цілому, я довіряю новинам:"	"Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:"	"Як багато Ваших знайомих вакциновано?"	"Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?"	"Як епідемія вплинула на ваших знайомих?"	"Ви готові придбати або вже придбали підроблений сертифікат COVID-19:"	"Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:"	"Ви вакциновані:"	"Незалежно від позиції по вакцинації, ви відстоюєте її:"	"Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:"	"У чому, на вашу думку, основна причина відмови людей від вакцинації?"	"Ваш вік"	"basic_classification"	"modified_classification"	"Недовіра"	"Конспірологічні"	"Соціальні"	"Дезінформація"
"12/7/2021 23:34:47"	"Продавец "	"5-4"	1	"продавець"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недоверие"		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1			
"12/8/2021 2:10:54"	"Не работаю"	"10-10"	1	"не працюю"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Это эксперимент над людьми, люди массово умирают после ширки незарегистрированным шмурдяком, за побочки никто не несет ответственности.  "		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 7:51:31"	"Нова пошта "	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Так"	"Недовіра "		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1			
"12/8/2021 8:22:08"	"Продавец"	"5-4"	1	"продавець"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Так"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Нет вакцин, есть эксперимент. Я не против вакцинации, я против эксперимента."		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"		1		
"12/8/2021 8:55:55"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Бо це експерементальна ""вакцина"" з великою кількістю побічної дії, не зупиняє хворобу.
 ""Вакциновані"" теж хворіють, заражають і помирають. Якщо буде вакцина, справжня, яка рятуватиме життя, ліцензійована і підтверджена, тоді можливо так."		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 9:48:15"	"Администратор"	"1-7"	1	"адміністратор"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"У примусі. Вакцина не пройшла клінічних випробувань і люди знають свої права і не хочуть брати участь у медичних експериментах. Не можна обмежувати права людей жодним приводом."		"ЗВДСКМ(У)"	"Керівні спеціальності"		1	1	
"12/8/2021 10:01:01"	"Будівельник"	"7-1"	1	"будівельник"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Це медичний експеримент.
І маніпуляція суспільною думкою.
"		"Кваліфіковані робітники з інструментом"	"Спеціальності науково-технічної спрямованості"		1		
"12/8/2021 10:08:30"	"Вже не працюю"	"10-10"	0.818181818181818	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Так"	"Це не вакцина,а медичний експеримент"		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 10:10:37"	"Финансы"	"2-3"	1	"фінанси"	"Так, вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Нарушение прав"		"Професіонали"	"Спеціальності сфера фінансів"			1	
"12/8/2021 10:38:34"	"Менеджер зі збуту"	"1-7"	1	"менеджер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Примусовість "		"ЗВДСКМ(У)"	"Керівні спеціальності"			1	
"12/8/2021 10:53:17"	"Прибиральниця "	"9-9"	0.88	"прибиральник"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Примус! Недосліджені вакцини. Швидкість і багато брехні"		"Найпростіші професії"	"Сфера обслуговування"	1		1	
"12/8/2021 12:11:11"	"Не працюю "	"10-10"	1	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недовіра "		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"	1			
"12/8/2021 13:08:40"	"Учитель "	"2-5"	1	"вчитель"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Так"	"Примус; Людей вводять в оману, не дають усієї достовірної інформації"		"Професіонали"	"Спеціальності сфери освіти"			1	
"12/8/2021 13:24:06"	"Освіта"	"2-5"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Респіраторні віруси мутують, тому створити вакцину проти них неможливо, та й непотрібно при смертності від коронавірусу меншій 1%, меншій за грип. 
А примушувати колотися експериментальними препаратами сумнівної якості і умов зберігання, можливо, простроченими, від яких можуть бути небезпечні побічні ефекти - тромбози, - це ЗЛОЧИН"		"Професіонали"	"Спеціальності сфери освіти"		1		1
"12/8/2021 15:46:51"	"Hr"	"3-11"	1	"hr"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Бесполезность, опасность вакцины, отсутствие исследований безопасности вакцины, большое количество зафиксированных побочных эффектов от вакцины и летальных случаев."		"Фахівці"	"Інші спеціальності"				1
"12/8/2021 15:48:19"	"Предприниматель в сфере сувенирной продукции "	"1-7"	1	"підприємець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Основные причины отказа людей от вакцинации:
- Недоказанность самого существования т.н.""вируса SARS-CoV-2"",
- Бездоказательность существования т.н. ""пандемии"", 
- Абсурдность соотношения ""угрозы от вируса"" и неадекватности принимаемых МОЗами и правительствами мероприятий, 
- Нарушение в ходе этих мероприятий прав человека, попрание свобод, закрепленных в конституциях многих стран (угроза увольнением за отказ от вакцинации, недопуск в организации, торговые учреждения, транспорт без масок и"" сертификатов"") "		"ЗВДСКМ(У)"	"Керівні спеціальності"		1		1
"12/8/2021 15:56:16"	"HR"	"3-11"	1	"hr"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Бо це не вакцинація, а вбивство"		"Фахівці"	"Інші спеціальності"		1		
"12/8/2021 15:56:42"	"пенс"	"10-10"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Так"	"Негативно"	"Ні"	"Ні"	"Ні"	"обман"		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 15:59:27"	"Региональный менеджер "	"1-7"	1	"менеджер(2)"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Нарушение прав и свобод человека путем навязывания вакцинации и незаконных действий власти"		"ЗВДСКМ(У)"	"Керівні спеціальності"			1	
"12/8/2021 16:01:07"	"руководитель"	"8-4"	0.8	"водій"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"геноцид"		"РОЕКРТУСУМ"	"Спеціальності сфери послуг"		1		
"12/8/2021 16:05:06"	"Юрист"	"2-6"	1	"юрист"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Це мед експеримент з вкрай негативними наслiдками для життя та здов’я"		"Професіонали"	"Юридичні спеціальності"		1		
"12/8/2021 16:08:23"	"Программист"	"2-1"	1	"програміст"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Ні"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Так"	"Негативно"	"Ні"	"Ні"	"Так"	"Геноцид"		"Професіонали"	"Спеціальності науково-технічної спрямованості"		1		
"12/8/2021 16:11:03"	"Слесарь"	"7-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Ні"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Нет доверия просто бизнес!!! Пусть лучше государство поможет детдома онкобольным если к ним нет помоги то что говорить о прививках"		"Кваліфіковані робітники з інструментом"	"Спеціальності науково-технічної спрямованості"	1			
"12/8/2021 16:25:08"	"Вчитель"	"2-5"	1	"вчитель"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Примусовість і нав'язування того, що людям не потрібно. "		"Професіонали"	"Спеціальності сфери освіти"			1	
"12/8/2021 16:30:34"	"Учитель"	"2-5"	1	"вчитель"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Примусовий її характер"		"Професіонали"	"Спеціальності сфери освіти"			1	
"12/8/2021 16:31:54"	"ФОП"	"1-7"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Примусовість."		"ЗВДСКМ(У)"	"Керівні спеціальності"			1	
"12/8/2021 16:42:44"	"Фахівець з інформаційних технологій"	"2-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Брехня, це яд а не вакцина"		"Професіонали"	"Спеціальності науково-технічної спрямованості"	1	1		
"12/8/2021 16:45:48"	"Торгівля"	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Немає довіри"		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1			
"12/8/2021 16:45:57"	"Журналист"	"2-8"	1	"журналіст"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Ні"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Нежелание участвовать в медицинских экспериментах"		"Професіонали"	"Творчі та гуманітарні спеціальності"		1		
"12/8/2021 16:49:58"	"Ит"	"2-1"	1	"іт"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Порушення прав і свобод"		"Професіонали"	"Спеціальності науково-технічної спрямованості"			1	
"12/8/2021 16:55:35"	"Продавец"	"5-4"	1	"продавець"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Недоверие к нашей медицине . Коррупционная составляющая в этом вопросе со стороны чиновников .
"		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1			
"12/8/2021 16:56:50"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Цэ не вакцина, цэ эксперемент"		"Незайняті (пенсіонери, безробітні, декрет)"	"Спеціальність невідома"		1		
"12/8/2021 17:02:09"	"ІТ"	"2-1"	1	"іт"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Брехня"		"Професіонали"	"Спеціальності науково-технічної спрямованості"	1			
"12/8/2021 17:03:43"	"Державний службовець"	"5-4"	1	"державний службовець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недовіра до влади"		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1			
"12/8/2021 17:03:50"	"инженер-проектировщик"	"2-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Это не вакцинация - это клинические испытания несертифицированных препаратов без надлежащего информирования об этом людей"		"Професіонали"	"Спеціальності науково-технічної спрямованості"		1		
"12/8/2021 17:04:28"	"Відсторонена авд посади вихователя ДНЗ"	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недовіра складу та аеликі питання щодо примусу
"		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"	1		1	
"12/8/2021 17:05:32"	"Соцпрацi вник"	"5-4"	0.88	"соцпрацівник"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Це медичний препарат в стадii випробування. Люди не бажають на собi та дiтях  проводити експеременти. Це злочин проти людства. "		"Працівники сфери торгівлі та послуг"	"Спеціальності сфери послуг"		1		1
