Timestamp	Коротко про те, ким ви працюєте:	Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?	Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?	Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?	В цілому, я довіряю новинам:	Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:	Як багато Ваших знайомих вакциновано?	Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?	Як епідемія вплинула на ваших знайомих?	Ви готові придбати або вже придбали підроблений сертифікат COVID-19:	Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:	Ви вакциновані:	Незалежно від позиції по вакцинації, ви відстоюєте її:	Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:	У чому, на вашу думку, основна причина відмови людей від вакцинації?	Ваш вік
12/7/2021 22:49:50	Пппппппппп	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Так	Так	Так	Тому що ніхто не несе відповідальність, ще вакцина не пройшла повне тестування.	
12/7/2021 22:54:43	Технічний спеціаліст на телебаченні	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Близько трьох чвертей знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Скоріше негативно	Ні	Так	Ні	Вакцини у стадії вибробування + повна безкарність будь-кого у разі ускладнень або смерті після вакцинації.	
12/7/2021 22:56:08	Электромонтер	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Она не проверенна. Люди умирают от нее	
12/7/2021 22:57:11	в декретній відпустці	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Так	примус, побічні наслідки після вакцинації. Коронавірус, якщо і існує то не такий небезпечний як його описують ЗМІ. Вже майже не рік дивлюся новини, остопранціла брехня про ковід.	
12/7/2021 22:58:14	Блогер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Примус	
12/7/2021 22:58:29	Работающий пенсионер, риелтор.	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Важко відповісти	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	У кожного своя.	
12/7/2021 22:59:24	Инженер	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Экспериментальный препарат даёт побочки, не защищает от заражения вирусом и является вообще бесполезным так как эта группа вирусов все время мутируют!	
12/7/2021 22:59:35	Инженер	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Умение думать и анализировать информацию	
12/7/2021 23:02:20	В держаній установі	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	Недовіра до влади, експериментальні препарати з побічними діями	
12/7/2021 23:03:48	Менеджер	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є люди з ускладненнями	Так	Негативно	Ні	Так	Так	Пагубний вплив на здоров’я компонентів смертельного яду	
12/7/2021 23:04:50	Менеджер	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Наявність мізків	
12/7/2021 23:05:42	Морський агент	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	У порушенні прав і примусі. 	
12/7/2021 23:07:56	Медсестра	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Ні	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Так	Люди бачать реальні , пібічні реакції та летальні випадки , а також  аналізи на спермограму у чоловіків показує що у випадку  з 10 ванцинованих, сперма ледь жива у 3 чодовік , а остальні не репробуктивні, тобто стерізовані	
12/7/2021 23:09:11	Учитель	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Галимый лохотрон. Идите нахуй со своим ковидом мрази.	
12/7/2021 23:09:56	Аналитик	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Принуждение к ней	
12/7/2021 23:10:27	Приватний підприємець	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Ні	Близько чверті знайомих	Ніяк не позначилося	Важко відповісти	Ні	Негативно	Ні	Так	Так	В здоровому глузді та здатності фільтрувати та аналізувати інформацію!	
12/7/2021 23:10:28	Фельдшер	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Тому що це все брехня.	
12/7/2021 23:11:02	Дизайнер	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Важко відповісти	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Недовіра до держави, корупція, недовіра до ВОЗ, тиск держави. 	
12/7/2021 23:15:32	Домогосподарка	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Ні	Ні	Вакцинація від ковіду це ЕВТАНАЗІЯ	
12/7/2021 23:18:18	"Керівник гуртків ""Основи робототехніки на платформі Arduino"""	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Ні	Так	Їх по меншій мірі дві. Перша: недовіра до влади. Друга: не бажання бути піддослідними тваринами в медичних експериментах. 	
12/7/2021 23:19:56	Неважливо	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Ні	наслідки	
12/7/2021 23:20:26	Фрилансер	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Осложнения и бесполезность 	
12/7/2021 23:23:28	Директор	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Ні	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих ніхто не захворів	Ні	Негативно	Ні	Так	Так	Я не довіряю вакцинам зовсім	
12/7/2021 23:24:26	Не працюю	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Так	Примусовість, що схожа на фашизм. Заборона людині працювати, а отже жити.	
12/7/2021 23:26:31	Програміст	Так, вважаю	Так, довіряю	Скоріше так	Ні	Ні	Близько половини знайомих	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є загиблі	Ні	Позитивно	Так	Так	Ні	Недовіра до влади. ЗМІ, які яскраво висвітлюють одиничні випадки ускладнень. Відсутність пояснення того, що вакцина з‘явилась не з абсолютного нуля. Відсутність пояснень механізмів роботи вакцини. Старше покоління бере приклад з молодшого, яке не хоче вакцинуватись, пояснюючи це меншим ризиком. «А я перехворів і в мене ніхто не помер, ми легко перенесли, не такий вже він і страшний, як його малюють» - пряма цитата.  На мою думку, відмова від вакцинації повинна супроводжуватись відмовою від госпіталізації при covid-19.	
12/7/2021 23:26:44	Экономист	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Экспериментальний препарат-вакцина, у якого ще триває стадія перевірки. Відсутність юридичної відповідальності у  виробника вакцин. 	
12/7/2021 23:28:43	держслужба	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	в тому, що це не вакцинація, а клінічні випробування	
12/7/2021 23:28:51	Президент	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Ложь	
12/7/2021 23:30:05	Продавец	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Важко відповісти	Ні	Негативно	Ні	Так	Так	Вакцина не прошла исследования, а так же в ней нет необходимости и возникает вопрос для чего тогда она? 	
12/7/2021 23:34:47	Продавец 	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Недоверие	
12/8/2021 0:00:52	Без работы 	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Лож с самого начала	
12/8/2021 0:37:03	Домогосподарка поки що	Так, вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Нелогічність дій влади та недостатньо вивчена та досліджена вакцина	
12/8/2021 0:55:52	Инженер	Так, вважаю	Так, довіряю	Так, довіряю	Ні	Важко відповісти	Всі або майже всі	Ніяк не позначилося	Важко відповісти	Ні	Позитивно	Так	Так	Ні	Обилие недостоверной информации, которую проще воспринимать, нежели научные факты. Доверчивость и недостаток образования/кругозора.	
12/8/2021 2:10:54	Не работаю	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Это эксперимент над людьми, люди массово умирают после ширки незарегистрированным шмурдяком, за побочки никто не несет ответственности.  	
12/8/2021 7:37:53	Hr	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Людей позбавляють роботи, засобів до існування, обмежують всі основні права, дискрімінують, бажають здохнути в муках - і після цього хтось повірить, що влада діє в наших інтересах і для нашого блага? 	
12/8/2021 7:51:31	Нова пошта 	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Ні	Так	Недовіра 	
12/8/2021 8:22:09	Продавец	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Так	Скоріше негативно	Ні	Ні	Ні	Нет вакцин, есть эксперимент. Я не против вакцинации, я против эксперимента.	
12/8/2021 8:55:55	Домогосподарка	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	"Бо це експерементальна ""вакцина"" з великою кількістю побічної дії, не зупиняє хворобу.  ""Вакциновані"" теж хворіють, заражають і помирають. Якщо буде вакцина, справжня, яка рятуватиме життя, ліцензійована і підтверджена, тоді можливо так."	
12/8/2021 9:48:15	Администратор	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	У примусі. Вакцина не пройшла клінічних випробувань і люди знають свої права і не хочуть брати участь у медичних експериментах. Не можна обмежувати права людей жодним приводом.	
12/8/2021 10:01:02	Будівельник	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Важко відповісти	Ніхто	Ніяк не позначилося	Серед знайомих ніхто не захворів	Ні	Негативно	Ні	Ні	Так	Це медичний експеримент. І маніпуляція суспільною думкою. 	
12/8/2021 10:08:30	Вже не працюю	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Скоріше негативно	Ні	Так	Так	Це не вакцина,а медичний експеримент	
12/8/2021 10:09:49	Лікар 	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько трьох чвертей знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є загиблі	Ні	Негативно	Так	Ні	Так	Неякісна недосліджена вакцина масове навязування та примушення до вакцинації	
12/8/2021 10:10:37	Финансы	Так, вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Нарушение прав	
12/8/2021 10:18:59	Інженер	Так, вважаю	Скоріше так	Так, довіряю	Ні	Важко відповісти	Всі або майже всі	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Позитивно	Так	Так	Ні	Погане розуміння основних принципів дії вакцин від SARS-Cov2	
12/8/2021 10:38:34	Менеджер зі збуту	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько трьох чвертей знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Примусовість 	
12/8/2021 10:53:18	Прибиральниця 	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Примус! Недосліджені вакцини. Швидкість і багато брехні	
12/8/2021 12:11:11	Не працюю 	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Ні	Недовіра 	
12/8/2021 12:20:01	Соцработник	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Всі або майже всі	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Нежелание знать свои права и думать головой, прежде чем колоть что-либо, не поинтересовались составом и целью медманипуляции	
12/8/2021 13:08:40	Учитель 	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є люди з ускладненнями	Ні	Скоріше негативно	Ні	Ні	Так	Примус; Людей вводять в оману, не дають усієї достовірної інформації	
12/8/2021 13:24:06	Освіта	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Респіраторні віруси мутують, тому створити вакцину проти них неможливо, та й непотрібно при смертності від коронавірусу меншій 1%, меншій за грип.  А примушувати колотися експериментальними препаратами сумнівної якості і умов зберігання, можливо, простроченими, від яких можуть бути небезпечні побічні ефекти - тромбози, - це ЗЛОЧИН	
12/8/2021 15:05:01	Менеджер 	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Ні	Ні	Производители не несут ответственности за побочные эффекты,  принудительная вакцинация 	
12/8/2021 15:16:45	Cтроитель	Ні, не вірю в його існування	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Так	Негативно	Ні	Ні	Так	Задолбали	
12/8/2021 15:46:52	Hr	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Бесполезность, опасность вакцины, отсутствие исследований безопасности вакцины, большое количество зафиксированных побочных эффектов от вакцины и летальных случаев.	
12/8/2021 15:48:19	Предприниматель в сфере сувенирной продукции 	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	"Основные причины отказа людей от вакцинации: - Недоказанность самого существования т.н.""вируса SARS-CoV-2"", - Бездоказательность существования т.н. ""пандемии"",  - Абсурдность соотношения ""угрозы от вируса"" и неадекватности принимаемых МОЗами и правительствами мероприятий,  - Нарушение в ходе этих мероприятий прав человека, попрание свобод, закрепленных в конституциях многих стран (угроза увольнением за отказ от вакцинации, недопуск в организации, торговые учреждения, транспорт без масок и"" сертификатов"") "	
12/8/2021 15:49:35	юрист	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	потому что она бесполезна - деньги государства выбрасываются на ветер	
12/8/2021 15:49:39	Стройка монолит	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Важко відповісти	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Важко відповісти	Ні	Негативно	Ні	Ні	Так	Затрудняюсь ответить	
12/8/2021 15:52:38	Бухгалтер	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Ніхто	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Ні	Так	Підроблені новини	
12/8/2021 15:53:22	журналіст	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Так	Скоріше позитивно	Ні	Ні	Так	1. Недосконалість вакцин. Вони не захищають від ковіду. 2. Влада не хоче брати на себе відповідальність за наслідки вакцинациї, вимагаючи людей підписувати згоду. 3. Не допустимість показувати ковід-сертифікати охоронцям та вахтерам. 4 Порушення основних прав людини	
12/8/2021 15:56:16	HR	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Бо це не вакцинація, а вбивство	
12/8/2021 15:56:43	пенс	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Важко відповісти	Так	Негативно	Ні	Ні	Ні	обман	
12/8/2021 15:58:17	Інженер-технолог на фарм.підприємстві	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько половини знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Обізнаність в даному питанні (в світі не існує безпечної вакцини)	
12/8/2021 15:59:28	Региональный менеджер 	Ні, не вважаю	Ні, не довіряю	Так, довіряю	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	Нарушение прав и свобод человека путем навязывания вакцинации и незаконных действий власти	
12/8/2021 15:59:50	Студент	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Так	Непотрібне втручання 	
12/8/2021 16:01:08	руководитель	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Ніхто	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	геноцид	
12/8/2021 16:01:59	вчитель	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Так	Ні	порушення свободи людини на власний вибір, нехтування науковими дослідженнями. Перехворівшим людям з високими титрами антитіл вакцинація не потрібна. Це - антинауково!	
12/8/2021 16:03:28	В декреті. Менеджер з продажу нерухомості.	Ні, не вважаю	Ні, не довіряю	Скоріше так	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Так	Негативно	Ні	Так	Так	Захист свого здоров’я та прав людини. 	
12/8/2021 16:05:07	Юрист	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки позитивно, відчуваю підтримку	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Так	Це мед експеримент з вкрай негативними наслiдками для життя та здов’я	
12/8/2021 16:05:21	Юрист	Так, вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько половини знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є люди з ускладненнями	Ні	Негативно	Ні	Так	Ні	Наслідки від вакцини, які люди самі мають потім розгрібати	
12/8/2021 16:08:23	Программист	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Ні	Близько трьох чвертей знайомих	Ніяк не позначилося	Серед знайомих ніхто не захворів	Так	Негативно	Ні	Ні	Так	Геноцид	
12/8/2021 16:09:20	Разнорабочий	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Близько чверті знайомих	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Негативно	Ні	Так	Так	Нет никакой информации по исследованию вакцин, их безопасности. А так же, неправдива информация о том, сколько людей умерло на самом деле от введения вакцин!!!	
12/8/2021 16:11:03	Слесарь	Ні, не вважаю	Ні, не довіряю	Ні, не довіряю	Ні	Ні	Ніхто	Ніяк не позначилося	Серед знайомих ніхто не захворів	Ні	Негативно	Ні	Так	Ні	Нет доверия просто бизнес!!! Пусть лучше государство поможет детдома онкобольным если к ним нет помоги то что говорить о прививках	
12/8/2021 16:19:42	IT	Так, вважаю	Скоріше так	Скоріше так	Ні	Ні	Всі або майже всі	Ніяк не позначилося	Серед знайомих є загиблі	Ні	Позитивно	Так	Так	Ні	Отсутствие мозгов))	
12/8/2021 16:24:33	Студент 	Ні, не вірю в його існування	Ні, не довіряю	Ні, не довіряю	Ні	Так	Близько чверті знайомих	Далося взнаки негативно, відчуваю засудження	Серед знайомих є загиблі	Так	Негативно	Ні	Ні	Так	Потому что вакциной снижают численность населения :)	
12/8/2021 16:25:08	Вчитель	Ні, не вважаю	Ні, не довіряю	Скоріше ні	Ні	Так	Ніхто	Далося взнаки позитивно, відчуваю підтримку	Мої знайомі перехворіли без особливих ускладнень	Ні	Негативно	Ні	Ні	Так	Примусовість і нав'язування того, що людям не потрібно. 	
