"Timestamp"	"Коротко про те, ким ви працюєте:"	"category"	"probability"	"speciality_auto_detected"	"Чи вважаєте Ви COVID-19 небезпечним респіраторним захворюванням?"	"Чи довіряєте Ви уряду щодо кампанії вакцинації від COVID-19?"	"Чи довіряєте Ви сфері медицини, окрім кампанії вакцинації?"	"В цілому, я довіряю новинам:"	"Я вважаю, що усунення від роботи невакцинованих співробітників погіршує ситуацію:"	"Як багато Ваших знайомих вакциновано?"	"Як ваше рішення щодо вакцинації позначилося на ставленні людей до вас?"	"Як епідемія вплинула на ваших знайомих?"	"Ви готові придбати або вже придбали підроблений сертифікат COVID-19:"	"Крім питання персональної довіри до вакцин, в цілому ви ставитеся до вакцинації від COVID-19:"	"Ви вакциновані:"	"Незалежно від позиції по вакцинації, ви відстоюєте її:"	"Ви часто приєднуєтеся до громадських мітингів на важливі для вас теми:"	"У чому, на вашу думку, основна причина відмови людей від вакцинації?"	"Ваш вік"
"12/7/2021 22:49:50"	"Пппппппппп"				"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Так"	"Так"	"Так"	"Тому що ніхто не несе відповідальність, ще вакцина не пройшла повне тестування."	
"12/7/2021 22:54:43"	"Технічний спеціаліст на телебаченні"	"2-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько трьох чвертей знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Ні"	"Вакцини у стадії вибробування + повна безкарність будь-кого у разі ускладнень або смерті після вакцинації."	
"12/7/2021 22:56:08"	"Электромонтер"	"2-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Она не проверенна. Люди умирают от нее"	
"12/7/2021 22:57:10"	"в декретній відпустці"	"10-10"	0.769230769230769	"декретна відпустка"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"примус, побічні наслідки після вакцинації. Коронавірус, якщо і існує то не такий небезпечний як його описують ЗМІ. Вже майже не рік дивлюся новини, остопранціла брехня про ковід."	
"12/7/2021 22:58:14"	"Блогер"	"5-8"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Примус"	
"12/7/2021 22:58:29"	"Работающий пенсионер, риелтор."	"10-10"	0.947368421052632	"пенсіонер(2)"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"У кожного своя."	
"12/7/2021 22:59:24"	"Инженер"	"2-1"	1	"інженер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Экспериментальный препарат даёт побочки, не защищает от заражения вирусом и является вообще бесполезным так как эта группа вирусов все время мутируют!"	
"12/7/2021 22:59:35"	"Инженер"	"2-1"	1	"інженер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Умение думать и анализировать информацию"	
"12/7/2021 23:02:20"	"В держаній установі"	"3-10"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Недовіра до влади, експериментальні препарати з побічними діями"	
"12/7/2021 23:03:47"	"Менеджер"	"1-7"	1	"менеджер"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Так"	"Негативно"	"Ні"	"Так"	"Так"	"Пагубний вплив на здоров’я компонентів смертельного яду"	
"12/7/2021 23:04:49"	"Менеджер"	"1-7"	1	"менеджер"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Наявність мізків"	
"12/7/2021 23:05:41"	"Морський агент"				"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"У порушенні прав і примусі. "	
"12/7/2021 23:07:56"	"Медсестра"	"2-2"			"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Ні"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Люди бачать реальні , пібічні реакції та летальні випадки , а також  аналізи на спермограму у чоловіків показує що у випадку  з 10 ванцинованих, сперма ледь жива у 3 чодовік , а остальні не репробуктивні, тобто стерізовані"	
"12/7/2021 23:09:11"	"Учитель"	"5-5"	1	"вчитель"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Галимый лохотрон. Идите нахуй со своим ковидом мрази."	
"12/7/2021 23:09:55"	"Аналитик"	"2-1"	1	"аналітик"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Принуждение к ней"	
"12/7/2021 23:10:27"	"Приватний підприємець"	"1-7"	1	"приватний підприємець"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Ні"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Важко відповісти"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"В здоровому глузді та здатності фільтрувати та аналізувати інформацію!"	
"12/7/2021 23:10:28"	"Фельдшер"	"3-2"	1	"фельдшер"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Тому що це все брехня."	
"12/7/2021 23:11:01"	"Дизайнер"	"2-8"	1	"дизайнер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Важко відповісти"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Недовіра до держави, корупція, недовіра до ВОЗ, тиск держави. "	
"12/7/2021 23:15:31"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Вакцинація від ковіду це ЕВТАНАЗІЯ"	
"12/7/2021 23:18:17"	"Керівник гуртків ""Основи робототехніки на платформі Arduino"""	"2-1"			"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Ні"	"Так"	"Їх по меншій мірі дві. Перша: недовіра до влади. Друга: не бажання бути піддослідними тваринами в медичних експериментах. "	
"12/7/2021 23:19:56"	"Неважливо"				"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"наслідки"	
"12/7/2021 23:20:25"	"Фрилансер"	"3-10"	1	"фрілансер"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Осложнения и бесполезность "	
"12/7/2021 23:23:28"	"Директор"	"1-7"	1	"директор"	"Ні, не вважаю"	"Ні, не довіряю"	"Так, довіряю"	"Ні"	"Ні"	"Ніхто"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Я не довіряю вакцинам зовсім"	
"12/7/2021 23:24:25"	"Не працюю"	"10-10"	1	"не працюю"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Примусовість, що схожа на фашизм. Заборона людині працювати, а отже жити."	
"12/7/2021 23:26:31"	"Програміст"	"2-1"	1	"програміст"	"Так, вважаю"	"Так, довіряю"	"Скоріше так"	"Ні"	"Ні"	"Близько половини знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Серед знайомих є загиблі"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Недовіра до влади.
ЗМІ, які яскраво висвітлюють одиничні випадки ускладнень.
Відсутність пояснення того, що вакцина з‘явилась не з абсолютного нуля. Відсутність пояснень механізмів роботи вакцини.
Старше покоління бере приклад з молодшого, яке не хоче вакцинуватись, пояснюючи це меншим ризиком.
«А я перехворів і в мене ніхто не помер, ми легко перенесли, не такий вже він і страшний, як його малюють» - пряма цитата.

На мою думку, відмова від вакцинації повинна супроводжуватись відмовою від госпіталізації при covid-19."	
"12/7/2021 23:26:43"	"Экономист"	"3-3"	1	"економіст"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Экспериментальний препарат-вакцина, у якого ще триває стадія перевірки. Відсутність юридичної відповідальності у  виробника вакцин. "	
"12/7/2021 23:28:42"	"держслужба"	"5-4"	0.75	"держслужбовець"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"в тому, що це не вакцинація, а клінічні випробування"	
"12/7/2021 23:28:51"	"Президент"				"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Ложь"	
"12/7/2021 23:30:05"	"Продавец"	"5-4"	1	"продавець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Важко відповісти"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Вакцина не прошла исследования, а так же в ней нет необходимости и возникает вопрос для чего тогда она? "	
"12/7/2021 23:34:47"	"Продавец "	"5-4"	1	"продавець"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недоверие"	
"12/8/2021 0:00:52"	"Без работы "	"10-10"	0.761904761904762	"безробітна"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Лож с самого начала"	
"12/8/2021 0:37:03"	"Домогосподарка поки що"	"10-10"	0.777777777777778	"домогосподарка"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Нелогічність дій влади та недостатньо вивчена та досліджена вакцина"	
"12/8/2021 0:55:52"	"Инженер"	"2-1"	1	"інженер"	"Так, вважаю"	"Так, довіряю"	"Так, довіряю"	"Ні"	"Важко відповісти"	"Всі або майже всі"	"Ніяк не позначилося"	"Важко відповісти"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Обилие недостоверной информации, которую проще воспринимать, нежели научные факты. Доверчивость и недостаток образования/кругозора."	
"12/8/2021 2:10:54"	"Не работаю"	"10-10"	1	"не працюю"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Это эксперимент над людьми, люди массово умирают после ширки незарегистрированным шмурдяком, за побочки никто не несет ответственности.  "	
"12/8/2021 7:37:52"	"Hr"	"3-11"	1	"hr"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Людей позбавляють роботи, засобів до існування, обмежують всі основні права, дискрімінують, бажають здохнути в муках - і після цього хтось повірить, що влада діє в наших інтересах і для нашого блага? "	
"12/8/2021 7:51:31"	"Нова пошта "	"5-4"			"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Так"	"Недовіра "	
"12/8/2021 8:22:08"	"Продавец"	"5-4"	1	"продавець"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Так"	"Скоріше негативно"	"Ні"	"Ні"	"Ні"	"Нет вакцин, есть эксперимент. Я не против вакцинации, я против эксперимента."	
"12/8/2021 8:55:55"	"Домогосподарка"	"10-10"	1	"домогосподарка"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Бо це експерементальна ""вакцина"" з великою кількістю побічної дії, не зупиняє хворобу.
 ""Вакциновані"" теж хворіють, заражають і помирають. Якщо буде вакцина, справжня, яка рятуватиме життя, ліцензійована і підтверджена, тоді можливо так."	
"12/8/2021 9:48:15"	"Администратор"	"1-7"	1	"адміністратор"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"У примусі. Вакцина не пройшла клінічних випробувань і люди знають свої права і не хочуть брати участь у медичних експериментах. Не можна обмежувати права людей жодним приводом."	
"12/8/2021 10:01:01"	"Будівельник"	"7-1"	1	"будівельник"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Важко відповісти"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих ніхто не захворів"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Це медичний експеримент.
І маніпуляція суспільною думкою.
"	
"12/8/2021 10:08:30"	"Вже не працюю"	"10-10"	0.818181818181818	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Скоріше негативно"	"Ні"	"Так"	"Так"	"Це не вакцина,а медичний експеримент"	
"12/8/2021 10:09:49"	"Лікар "	"2-2"	1	"лікар"	"Ні, не вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Так"	"Ні"	"Так"	"Неякісна недосліджена вакцина масове навязування та примушення до вакцинації"	
"12/8/2021 10:10:37"	"Финансы"	"2-3"	1	"фінанси"	"Так, вважаю"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Нарушение прав"	
"12/8/2021 10:18:59"	"Інженер"	"2-1"	1	"інженер"	"Так, вважаю"	"Скоріше так"	"Так, довіряю"	"Ні"	"Важко відповісти"	"Всі або майже всі"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Позитивно"	"Так"	"Так"	"Ні"	"Погане розуміння основних принципів дії вакцин від SARS-Cov2"	
"12/8/2021 10:38:34"	"Менеджер зі збуту"	"1-7"	1	"менеджер"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько трьох чвертей знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Примусовість "	
"12/8/2021 10:53:17"	"Прибиральниця "	"9-9"	0.88	"прибиральник"	"Так, вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Примус! Недосліджені вакцини. Швидкість і багато брехні"	
"12/8/2021 12:11:11"	"Не працюю "	"10-10"	1	"не працюю"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Недовіра "	
"12/8/2021 12:20:00"	"Соцработник"	"5-4"	1	"соцпрацівник"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Всі або майже всі"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Так"	"Нежелание знать свои права и думать головой, прежде чем колоть что-либо, не поинтересовались составом и целью медманипуляции"	
"12/8/2021 13:08:40"	"Учитель "	"2-5"	1	"вчитель"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше так"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Серед знайомих є люди з ускладненнями"	"Ні"	"Скоріше негативно"	"Ні"	"Ні"	"Так"	"Примус; Людей вводять в оману, не дають усієї достовірної інформації"	
"12/8/2021 13:24:06"	"Освіта"	"2-5"			"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Респіраторні віруси мутують, тому створити вакцину проти них неможливо, та й непотрібно при смертності від коронавірусу меншій 1%, меншій за грип. 
А примушувати колотися експериментальними препаратами сумнівної якості і умов зберігання, можливо, простроченими, від яких можуть бути небезпечні побічні ефекти - тромбози, - це ЗЛОЧИН"	
"12/8/2021 15:05:01"	"Менеджер "	"1-7"	1	"менеджер"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Ніхто"	"Ніяк не позначилося"	"Серед знайомих є загиблі"	"Ні"	"Негативно"	"Ні"	"Ні"	"Ні"	"Производители не несут ответственности за побочные эффекты,  принудительная вакцинация "	
"12/8/2021 15:16:44"	"Cтроитель"	"7-1"	0.888888888888889	"будівельник"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки негативно, відчуваю засудження"	"Мої знайомі перехворіли без особливих ускладнень"	"Так"	"Негативно"	"Ні"	"Ні"	"Так"	"Задолбали"	
"12/8/2021 15:46:51"	"Hr"	"3-11"	1	"hr"	"Ні, не вважаю"	"Ні, не довіряю"	"Скоріше ні"	"Ні"	"Так"	"Близько половини знайомих"	"Ніяк не позначилося"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Так"	"Ні"	"Бесполезность, опасность вакцины, отсутствие исследований безопасности вакцины, большое количество зафиксированных побочных эффектов от вакцины и летальных случаев."	
"12/8/2021 15:48:19"	"Предприниматель в сфере сувенирной продукции "	"1-7"	1	"підприємець"	"Ні, не вірю в його існування"	"Ні, не довіряю"	"Ні, не довіряю"	"Ні"	"Так"	"Близько чверті знайомих"	"Далося взнаки позитивно, відчуваю підтримку"	"Мої знайомі перехворіли без особливих ускладнень"	"Ні"	"Негативно"	"Ні"	"Ні"	"Так"	"Основные причины отказа людей от вакцинации:
- Недоказанность самого существования т.н.""вируса SARS-CoV-2"",
- Бездоказательность существования т.н. ""пандемии"", 
- Абсурдность соотношения ""угрозы от вируса"" и неадекватности принимаемых МОЗами и правительствами мероприятий, 
- Нарушение в ходе этих мероприятий прав человека, попрание свобод, закрепленных в конституциях многих стран (угроза увольнением за отказ от вакцинации, недопуск в организации, торговые учреждения, транспорт без масок и"" сертификатов"") "	
